Ref,EWTS Varient,Area,Task,Status,Completed,Delta,Escalated,Avg_col
EAVanuatuMDRVU012,ea,assessment,Initial needs assessments completed and disseminated within 72 hours​ of the event.,Achieved Late,2025-01-17 00:00:00,-28,Not Escalated,0.5
EAUgandaMDRUG055,ea,assessment,Initial needs assessments completed and disseminated within 72 hours​ of the event.,Achieved Early,2025-02-07 00:00:00,13,Not Escalated,0.5
EAMalawiMDRMW021,ea,assessment,Initial needs assessments completed and disseminated within 72 hours​ of the event.,Not Achieved,-,-365,,0.5
EAMozambiqueMDRMZ026,ea,assessment,Initial needs assessments completed and disseminated within 72 hours​ of the event.,Not Achieved,-,-365,,0.5
EAComorosMDRKM013,ea,assessment,Initial needs assessments completed and disseminated within 72 hours​ of the event.,Not Achieved,-,-365,,0.5
EAMadagascarMDRMG023,ea,assessment,Initial needs assessments completed and disseminated within 72 hours​ of the event.,DNU,-,,,0.5
EAVanuatuMDRVU012,ea,coordination,Hold a Mini Summit within 48 h of the disaster,Achieved Early,2024-12-19 00:00:00,0,Not Escalated,0.25
EAVanuatuMDRVU012,ea,coordination,The Movement Joint statement is produced 48h after the Mini Summit,DNU,-,,Not Escalated,0.0
EAVanuatuMDRVU012,ea,coordination,review/adapt membership coordination for the context for this specific emergency ,Achieved Early,2024-12-19 00:00:00,5,Not Escalated,0.6
EAVanuatuMDRVU012,ea,coordination,Appropriate membership coordination is in place after 24h of disaster,Achieved Early,2024-12-18 00:00:00,1,Not Escalated,0.8
EAUgandaMDRUG055,ea,coordination,Hold a Mini Summit within 48 h of the disaster,DNU,-,,Not Escalated,0.25
EAUgandaMDRUG055,ea,coordination,The Movement Joint statement is produced 48h after the Mini Summit,DNU,-,,Not Escalated,0.0
EAUgandaMDRUG055,ea,coordination,review/adapt membership coordination for the context for this specific emergency ,Achieved Early,2025-02-07 00:00:00,17,Not Escalated,0.6
EAUgandaMDRUG055,ea,coordination,Appropriate membership coordination is in place after 24h of disaster,Achieved Early,2025-02-07 00:00:00,12,Not Escalated,0.8
EAMalawiMDRMW021,ea,coordination,Hold a Mini Summit within 48 h of the disaster,Not Achieved,-,-365,,0.25
EAMalawiMDRMW021,ea,coordination,The Movement Joint statement is produced 48h after the Mini Summit,Not Achieved,-,-365,,0.0
